composition_id;Si;Fe;Cu;Mn;Mg;Cr;Zn;Ti
1;0,0025;0,004;0,0005;0,0005;0,0005;0,0005;0,0005;0,0003
2;0,0095;0,0095;0,001;0,0005;0,0005;0,0005;0,001;0,0005
3;0,005;0,005;0,04;0,005;0,013;0,001;0,0025;0,0015
4;0,006;0,007;0,001;0,01;0,001;0,001;0,001;0,0005
5;0,0025;0,004;0,001;0,001;0,024;0,002;0,001;0,0015
6;0,004;0,004;0,001;0,005;0,045;0,001;0,0025;0,0015
7;0,005;0,007;0,002;0,0015;0,01;0,002;0,0025;0,0015
8;0,003;0,0035;0,001;0,001;0,006;0,001;0,001;0,001
9;0,004;0,005;0,015;0,003;0,023;0,002;0,06;0,002
10;0,006;0,007;0,001;0,002;0,0005;0,0005;0,001;0,0008
11;0,003;0,007;0,0025;0,013;0,01;0,0005;0,0025;0,0005
12;0,006;0,007;0,003;0,005;0,003;0,002;0,004;0,001
13;0,003;0,007;0,002;0,002;0,006;0,001;0,0025;0,001
14;0,0025;0,004;0,001;0,001;0,015;0,001;0,001;0,001
15;0,0025;0,004;0,001;0,007;0,025;0,001;0,0025;0,002
16;0,004;0,004;0,001;0,005;0,03;0,003;0,002;0,0015
17;0,004;0,002;0,001;0,001;0,005;0,0005;0,0015;0,001
18;0,005;0,007;0,01;0,009;0,01;0,001;0,0025;0,0015
19;0,001;0,002;0,001;0,0003;0,0003;0,0003;0,0007;0,0003
20;0,003;0,005;0,02;0,003;0,027;0,002;0,07;0,002
21;0,0026;0,0045;0,0012;0,0075;0,025;0,001;0,0025;0,002
22;0,0045;0,0045;0,0012;0,006;0,031;0,003;0,002;0,0015
23;0,0045;0,0022;0,0011;0,0011;0,005;0,0005;0,0015;0,001
24;0,006;0,0075;0,012;0,009;0,01;0,001;0,0025;0,0015
25;0,99;0,01;0;0;0;0;0;0
26;0,02;0,98;0;0;0;0;0;0
27;0;0;1;0;0;0;0;0
28;0;0;0;0,98;0;0;0;0
29;0;0;0;0;0,99;0;0;0
30;0,01;0;0;0;0;0,99;0;0
31;0;0,01;0;0;0;0;0,98;0
32;0;0;0;0;0;0;0;0,99
33;0,001;0,002;0;0;0;0;0;0
34;0,0002;0,0002;0;0;0;0;0;0
35;0,00275;0,00425;0,00075;0,00075;0,00075;0,00075;0,00075;0,00055
